idna_subject,checker_type,destination,tested_at
acb.vn-cl.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:01.742797
com.vn-rb.icu,AVAILABILITY,origin.list,2023-03-06 06:41:01.945523
zvietnakello.weebly.com,AVAILABILITY,origin.list,2023-03-06 06:41:02.609745
sacombank.vn-cl.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:02.696835
shb.com.vn-sp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:03.127768
vietcombank-credit.tk,AVAILABILITY,origin.list,2023-03-06 06:41:04.078222
xacnhankhoanvay999.com,AVAILABILITY,origin.list,2023-03-06 06:41:04.225475
wefinexvietnam.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:04.713959
tpbank.vn-cl.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:05.431346
vpbank.com.vn-rb.icu,AVAILABILITY,origin.list,2023-03-06 06:41:05.576898
com.vn-sp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:06.519152
com.vn-uz.info,AVAILABILITY,origin.list,2023-03-06 06:41:06.746155
techcombank.vn-cl.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:07.664957
vietinbank.tk,AVAILABILITY,origin.list,2023-03-06 06:41:08.222900
vietcombankd.tk,AVAILABILITY,origin.list,2023-03-06 06:41:08.222886
xacnhantaikhoannhanqua.com,AVAILABILITY,origin.list,2023-03-06 06:41:08.325226
xacnhanvay247.com,AVAILABILITY,origin.list,2023-03-06 06:41:08.409585
xakhohangtrungbay.site,AVAILABILITY,origin.list,2023-03-06 06:41:09.391526
com.vn-iz.info,AVAILABILITY,origin.list,2023-03-06 06:41:09.506816
vpbank.vn-cl.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:09.534201
vietcombank.vn-sp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:09.690570
vpbank.vn-sp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:10.654765
shb.com.vn-iy.info,AVAILABILITY,origin.list,2023-03-06 06:41:10.868519
xacnhankhoanvay.com,AVAILABILITY,origin.list,2023-03-06 06:41:11.125213
msb.vn-iy.life,AVAILABILITY,origin.list,2023-03-06 06:41:11.242574
techcombank.vn-sp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:11.967638
techcombank.vn-iy.life,AVAILABILITY,origin.list,2023-03-06 06:41:12.431957
acb.vn-banks.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:12.456804
app.zingmp3.pro,AVAILABILITY,origin.list,2023-03-06 06:41:12.831343
scb.com.vn-uz.info,AVAILABILITY,origin.list,2023-03-06 06:41:13.346026
shopee.vn-lk.shop,AVAILABILITY,origin.list,2023-03-06 06:41:13.776851
scb.com.vn-iz.info,AVAILABILITY,origin.list,2023-03-06 06:41:13.877144
vpbank.com.vn-uz.info,AVAILABILITY,origin.list,2023-03-06 06:41:14.178563
com.vn-iy.info,AVAILABILITY,origin.list,2023-03-06 06:41:14.682998
xacnhan.vn,AVAILABILITY,origin.list,2023-03-06 06:41:15.206583
ibankingdigital.com,AVAILABILITY,origin.list,2023-03-06 06:41:15.358251
vietcombank.vn-llc.top,AVAILABILITY,origin.list,2023-03-06 06:41:15.572870
vayvonnhanhnganhangtpbank.com,AVAILABILITY,origin.list,2023-03-06 06:41:15.963544
ff-menber-garena.vn,AVAILABILITY,origin.list,2023-03-06 06:41:16.486327
vietcombank.vn-nng.top,AVAILABILITY,origin.list,2023-03-06 06:41:17.018409
binhchonthisinhgionghatvietnhi2022vtv6vn.weebly.com,AVAILABILITY,origin.list,2023-03-06 06:41:17.057608
binhchonkhoanhkhacbeyeu2022.weebly.com,AVAILABILITY,origin.list,2023-03-06 06:41:18.125309
vongquay-lienminh.com,AVAILABILITY,origin.list,2023-03-06 06:41:18.318320
com.vn-ub.info,AVAILABILITY,origin.list,2023-03-06 06:41:18.564801
ff-membership-garena.com,AVAILABILITY,origin.list,2023-03-06 06:41:19.632061
vongquaysukienff.top,AVAILABILITY,origin.list,2023-03-06 06:41:19.679425
tpbank.vn-vpb.top,AVAILABILITY,origin.list,2023-03-06 06:41:19.833806
vcbdlgrcbonk.com,AVAILABILITY,origin.list,2023-03-06 06:41:20.105990
vongquayskinfree.tk,AVAILABILITY,origin.list,2023-03-06 06:41:20.444601
ahoravideo-cdn.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:21.349484
new-vietcombank.com,AVAILABILITY,origin.list,2023-03-06 06:41:21.640645
vpbank.vn-cn.life,AVAILABILITY,origin.list,2023-03-06 06:41:21.648819
www.findiphone.mobi,AVAILABILITY,origin.list,2023-03-06 06:41:21.667175
bideo-blog.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:22.596712
lienvietbank.vn-vp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:22.800904
ahoravideo-chat.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:22.976286
taoshopttv.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:23.298726
www.sukienmd.epizy.com,AVAILABILITY,origin.list,2023-03-06 06:41:23.401138
bideo-schnellvpn.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:23.967163
ahoravideo-blog.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:24.116207
fairu-cdn.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:24.348681
acb.vn-vp.xyz,AVAILABILITY,origin.list,2023-03-06 06:41:24.549910
